test_item,expected,actual,remarks,detailed error if meron,,
"onboard
captain() {
    pint a = 10;
    pint b = 20;
    theo (a==10){
	fire(""a is 10"");
	} altheo (a==20){
	fire(""a is 20"");
	} alt {
	fire(""a is 30"");
	} 
}
offboard",No Syntax Error,,,,,
"onboard
captain() {
    int x = 15;
    int y = 10;
    theo (x > y) { 
        fire(""x is greater than y"");  
    } alt {
        fire(""x is not greater than y"");  
    }
}
offboard",Syntax Error,,,,,
"onboard
captain() {
    pint x = 15;
    pint y = 10;
    theo (x > y) { 
        fire(""x is greater than y"");  
    } alt {
        fire(""x is not greater than y"");  
    }
}
offboard",No Syntax Error,,,,,
"onboard
captain() {
    pint temperature = 25;
    theo (temperature > 30) {  
        fire(""It's hot outside!"");  
    } altheo (temperature < 10) {
        fire(""It's cold outside!"");  
    } alt {
        fire(""The weather is moderate."");  
    }
}
offboard",No Syntax Error,,,,,
"onboard
captain() {
    int x = 10;
    int y = 20;
    int result = x + y;  
    if (result == 30) {
        print(""The result is 30"");  
    } else {
        print(""The result is not 30"");  
    }
}
offboard",Syntax Error,,,,,
"onboard
captain() {
    pint x = 10;
    pint y = 20;
    pint result = x + y;  
    theo (result == 30) {
        fire(""The result is 30"");  
    } alt {
        fire(""The result is not 30"");  
    }
}
offboard",No Syntax Error,,,,,
"onboard
captain() {
    pint num1 = 10;
    pint num2 = 15;
    theo (num1 < num2) {  
        fire(""num1 is less than num2"");  
    } alt {
        fire(""num1 is greater than or equal to num2"");  
    }
}
offboard",No Syntax Error,,,,,
"onboard
captain() {
    pint x = 10;
    pint y = 20;
    theo (x != y) {  
        (""x is not equal to y""); 
    } alt {
        (""x is equal to y"");  
    }
}
offboard",Syntax Error,,,,,
"onboard
captain() {
    pint x = 10;
    pint y = 20;
    theo (x != y) {  
        fire(""x is not equal to y""); 
    } alt {
        fire(""x is equal to y"");  
    }
}
offboard",No Syntax Error,,,,,
"onboard
captain() {
    pint age = 25;
    theo (age >= 18) {  
        fire(""You are an adult."");  
    } alt {
        fire(""You are not an adult."");  
    }
    sail;
}
offboard",No Syntax Error,,,,,
"onboard
captain() {
    pint age = 25;
    theo (age >= 18) {  
        fire(""You are an adult."");  
    } alt {
        fire(""You are not an adult."");  
    }
}
offboard",No Syntax Error,,,,,
"onboard
captain() {
    pint temperature = 25;
    helm (temperature) {
        chest 15:fire(""Temperature is cold."");          
        chest 25: fire(""Temperature is warm."");  
        chest 35: fire(""Temperature is hot."");  
        dagger: fire(""Unknown temperature."");  
    }
}
offboard",No Syntax Error,,,,,
"onboard
captain() {
    pint temp = 25;
    helm (temp) {
        chest 15: ;          
        dagger: 
    }
}
offboard",Syntax Error,,,,,
"onboard
offboard
captain(){
}",Syntax Error,,,,,
"captain(){
}
onboard
offboard",Syntax Error,,,,,
"onboard
captain(){
}
pint a=1;
pint b=2;
offboard",Syntax Error,,,,,
"onboard
	sail;
offboard",Syntax Error,,,,,
"onboard
	pass ;
offboard",Syntax Error,,,,,
"onboard
	captain(){
	theo()
	}
offboard",Syntax Error,,,,,
"onboard
	captain(){
	alt[]
	}
offboard",Syntax Error,,,,,
"onboard
	captain(){
	pint doffy = loyal;
	}
offboard",Syntax Error,,,,,
"onboard
	captain(){
	loyal pint doffy fleet = av12.5;
	}
offboard",Syntax Error,,,,,
"onboard
        captain(){
        pint silver = 5; pint bronze = 7; pint gold = 15;
        }
offboard",No Syntax Error,,,,,
"onboard
	captain(){
	pint silver = 5; 
	fleet bronze = 1.25; 
	doffy treasure = ""gold"";
	bull platinum = real;
	}
offboard",No Syntax Error,,,,,
"onboard
        captain(){
        doffy shape = square;
        }
offboard",No Syntax Error,,,,,
"onboard
        captain(){
        pint population = ""9"";
        }
offboard",No Syntax Error,,,,,
"onboard
        captain(){
        ## bruh
        }
offboard",No Syntax Error,,,,,
"onboard
        captain() {
        # owyes
        }
offboard",No Syntax Error,,,,,
"onboard
        captain() {
        fleet mcflurry = ""95.25"",
        }
offboard",Syntax Error,,,,,
"onboard
        captain() {
        pint rect = 34;
        fire(rect);
        }
offboard",No Syntax Error,,,,,
"onboard
        captain() {
        pint tri = [4, 5, ""six""]
        }
offboard",Syntax Error,,,,,
"onboard
        captain() {
        doffy = ""## true"";
        }
offboard",Syntax Error,,,,,
"onboard
        captain() {
        fleet water = 17.5;
        (water);
        }
offboard",Syntax Error,,,,,
"onboard
        captain() {
        return;
        }
offboard",Syntax Error,,,,,
"onboard
        captain() {
        doffy Bops = [""Nothing"", ""Mary Whiton Calkins"", ""See Stars""];
        fire(Bops);
        }
offboard",No Syntax Error,,,,,
"onboard
        captain() {
        doffy APAQueen = [""Mary"", ""Whiton"", ""Calkins""];
        }
offboard",No Syntax Error,,,,,
"onboard
        captain() {
        doffy RomanNum = [""I"", ""II"", ""III"", ""IIII"", ""IIIII"", ""IIIIII"", ""IIIIIIII""];
        }
offboard",No Syntax Error,,,,,
"onboard
        captain() {
        pint zodiac = 69;
        helm(zodiac) {
                chest 1: fire(""Aquarius""); leak;
                chest 2: fire(""Pisces""); leak;
                chest 3: fire(""Aries""); leak;
                chest 4: fire(""Taurus""); leak;
                chest 5: fire(""Gemini""); leak;
                chest 6: fire(""Cancer""); leak;
                chest 7: fire(""Leo""); leak;
                chest 8: fire(""Virgo""); leak;
                chest 9: fire(""Libra""); leak;
                chest 10: fire(""Scorpio""); leak;
                chest 11: fire(""Sagittarius""); leak;
                chest 12: fire(""Capricorn""); leak;
        dagger: fire(""Error"");
        }        
        }
offboard",No Syntax Error,,,,,
"onboard
        captain() {
        # I want
        multi-line comment
        SYNTAX ERROR dapat, pero sa autotester cinocompile to one line
        }
offboard",No Syntax Error,,,,,
"onboard
        captain() {
        fire(""Is It
        Over Now?"");
        }
offboard",No Syntax Error,,,,,
"onboard
pint z(pint a){
                fire(""Hello"");
        }
        captain(){
        pint x = 10;
        pint y = 15;
        }
        
offboard ",No Syntax Error,,,,,
"onboard
	captain(){
	pint x = 10; loyal fleet y = 15.5;
	}
offboard",No Syntax Error,,,,,
"onboard
        captain(){
        pint x = 10; loyal fleet y = 15.5, z = 23.456;
        }
offboard",Syntax Error,,,,,
"onboard
   captain(){
      doffy name = load(""enter your name"");
      doffy greeting = ""Hello "" + name;
}
offboard",No Syntax Error,,,,,1
"onboard

pint sumTwo(pint a, pint b){
     home(1 + 2);
}
   captain(){
      pint sum = sumTwo(1,2);
}


offboard",No Syntax Error,,,,,
"onboard
   # made up formula para di na magsearch
   captain(){
      fleet celc = load(""enter celsius to convert: "");
      fleet fahr = celc * 2 + 34;
      fire(fahr);
}",No Syntax Error,,,,,
"onboard

   bull isOdd(pint a){
      theo(a % 2 == 0){
       home(real);
} alt {
       home(usopp);
}
}

   captain(){
     pint n = load(""enter number: "");
     bull odd = isOdd(n);
     fire(odd);
}
offboard",No Syntax Error,,,,,
"onboard
loyal doffy name = ""John"";
captain(){
    fire(len(name));
}

offboard",No Syntax Error,,,,,
"onboard
   loyal pint target_year = 100;
   captain(){
      pint current_age = load(""how old are you: "");
      pint years_til_100 = target_year - current_age;
      fire(years_til_100);
}
offboard",No Syntax Error,,,,,
"onboard
   doffy vowels = [""a"", ""e"", ""i"", ""o"", ""u""];

  
void count_vowels(doffy str){
    pint vowelCount = 0;
    four(pint i = 0; i < len(str); i++){
       four(pint j = 0; j < len(vowels); j++){
          theo(str[i] == vowels[j]){
             vowelCount++;
             leak;
          }
       }
    }
    fire(vowelCount);
}
captain(){
    doffy prompt = ""enter sentence: "";
    doffy str = load(prompt);
    count_vowels(str);
}
offboard",No Syntax Error,,,,,
"onboard
   captain(){
     pint a = load(""enter first number""), b = load(""enter second number"");
     fire(`the product of {a} and {b} is {a * b}`);
}
offboard",No Syntax Error,,,,,
"onboard
   captain(){
      whale(real){
         pint number = load(""enter number: "");
         theo(number < 0){
            leak;
         }
      }
}
offboard",No Syntax Error,,,,,
"onboard
   captain(){
     four(pint i = 1; i <= 20; i++){
      theo(i % 2 == 0){
        fire(i);
}
}
     
}
offboard",No Syntax Error,,,,,
"onboard

captain(){
   pint n = load(""enter number to factorial"");
   pint factorial = 1;	
   four(pint i = n; i > 0; i--){
           factorial = factorial * i;
}
   fire(factorial);
}

offboard",No Syntax Error,,,,,
"onboard

pint arr = [1,2,3,4,5];

captain(){
   pint sum = 0;
   four(pint i = 0; i < len(arr); i++){
      sum = sum + arr[i];
}
   fire(sum);
}

offboard",No Syntax Error,,,,,
"onboard
pint arr = [1,5,3,2,6,2];
captain(){
   pint max = 0;
   four(pint i = 0; i < len(arr); i++){
     theo(arr[i] > max){
       max = arr[i];
}
}
   fire(max);
}

offboard",No Syntax Error,,,,,
"onboard
   doffy vowels = [""a"", ""e"", ""i"", ""o"", ""u""];



void count_vowels(doffy str){
    pint vowelCount = 0;
    four(pint i = 0; i < len(str); i++){
       four(pint j = 0; j < len(vowels); j++){
          theo(str[i] == vowels[j]){
             vowelCount++;
             leak;
          }
       }
    }
    fire(vowelCount);
}
captain(){
    doffy prompt = ""enter sentence: "";
    doffy str = load(prompt);
    count_vowels(str);
}

offboard

",No Syntax Error,,,,,
"onboard

pint arr = [1,2,3] + [4];
pint arr2 = arr + [5];

captain(){
   fire(arr2);
}

offboard",No Syntax Error,,,,,
